assetsType,dbType,name,nickname,uri,personalSign,businessSign
数据表,,emr_dump_log,转储日志表,,健康医疗数据规范-个人属性数据-个人身份信息-住院号,
字段,,operation_name_3,手术名称3,emr_case_medical_record_data_record,,健康医疗数据规范-医疗应用数据-手术记录-手术名称
数据表,,com_inp_case_no_reuse,住院病案号复用记录,,健康医疗数据规范-个人属性数据-个人身份信息-患者ID;健康医疗数据规范-个人属性数据-个人身份信息-住院号,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,operation_anesth_grade_15,手术麻醉分级15,emr_case_operation_info,,健康医疗数据规范-医疗应用数据-麻醉记录
字段,,drug_total,用药总量,com_special_drug_total_config,,健康医疗数据规范-医疗应用数据-用药信息-药品用量
字段,,derate_cost,减免金额#|#|,cha_outp_settle_master,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
字段,,patient_id,病人ID,pat_inp_patient_share_record,健康医疗数据规范-个人属性数据-个人身份信息-患者ID,
字段,,event_no,住院号,qua_time_quality_record,健康医疗数据规范-个人属性数据-个人身份信息-住院号,
字段,,operation_name_22,手术名称22,emr_case_std_operation_master,,健康医疗数据规范-医疗应用数据-手术记录-手术名称
字段,,operate_level_code_6,手术等级6,emr_case_medical_record_data_record,,健康医疗数据规范-医疗应用数据-手术记录-手术等级
数据表,,ins_chronic_vs_insur_disease,慢病与普通病种对照表,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,sub_event_no,子住院号,emr_basic_info,健康医疗数据规范-个人属性数据-个人身份信息-住院号,
字段,,operation_code_5,手术编码5,emr_case_operation_master,,健康医疗数据规范-医疗应用数据-手术记录-手术编码
字段,,confirmed_diag_org_name,确诊医疗机构名称,dm_smi,,
字段,,marriage_name,婚姻状况名称,dm_malignancy_diagnose,健康医疗数据规范-个人属性数据-人口统计信息-婚姻状态,
字段,,derate_cost,减免金额,set_account_master,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
字段,,usage_drug_code,用药方法,pres_apply_records,,健康医疗数据规范-医疗应用数据-用药信息-给药方式
字段,,card_id,就诊卡号,set_wallet_trade_record,健康医疗数据规范-个人属性数据-个人身份信息-就诊卡号,
字段,,operate_time,手术时间,pres_outp_operation_record,,健康医疗数据规范-医疗应用数据-手术记录-手术时间
字段,,skin_test_code,皮试项目代码,pres_inp_pres_record,,
